"County","Waterbody Name","WBIC","Survey Year","Station Name","Swims Station Id","Site Seq No","Srvy Seq No","Survey Begin Date","Survey End Date","Survey Status","Data Entry Name","Entry Date","Visit Fish Seq No","Visit Type","Gear","Sample Date","Substation Name","Target Species","Fish Data Seq No","Net Number","Species Code","Species","Length or Lower Length IN","Length Upper IN","Length or Lower Length MM","Length Upper MM","Weight Pounds","Weight Grams","Gender","Disease","Injury Type","Age (observed annuli)","Edge Counted Desc","Age Structure","Mark Given","Mark Found","Second Mark Found","Tag Number Given","Second Tag Number Given","Tag Number Found","Second Tag Number Found","YOY","Entry Date","Last Update Date","Data Ent Name","Last Update Name","Invalid Species","Non Standard Bin","Length Unit Error","Length Outside Range","Count Outside Range","Status Code","Len","lennote"
"SAWYER","BARKER LAKE",2400000,2010,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,41437573,2010-05-04,2010-05-04,"DATA ENTRY COMPLETE AND PROOFED","scheij",2010-05-05,625138,"NETTING","BOTTOM GILL NET",2010-05-04,"","LAKE STURGEON",7558801,"GN-4","B01","LAKE STURGEON",58,NA,1473.2,NA,43.9,19912.70504,"U",NA,"",NA,NA,"","PIT","","","91587267",NA,"",NA,"",2010-05-05,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",58,"Observed length"
"SAWYER","BARKER LAKE",2400000,2010,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,41437573,2010-05-04,2010-05-04,"DATA ENTRY COMPLETE AND PROOFED","scheij",2010-05-05,625138,"NETTING","BOTTOM GILL NET",2010-05-04,"","LAKE STURGEON",7558802,"GN-4","B01","LAKE STURGEON",61.5,NA,1562.1,NA,70.5,31978.26209,"U",NA,"",NA,NA,"","PIT","","","91359804",NA,"",NA,"",2010-05-05,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",61.5,"Observed length"
"SAWYER","BARKER LAKE",2400000,2010,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,41437573,2010-05-04,2010-05-04,"DATA ENTRY COMPLETE AND PROOFED","scheij",2010-05-05,625138,"NETTING","BOTTOM GILL NET",2010-05-04,"","LAKE STURGEON",7558803,"GN-4","B01","LAKE STURGEON",59.7,NA,1516.38,NA,55.6,25219.73577,"U",NA,"",NA,NA,"","PIT","","","91040827",NA,"",NA,"",2010-05-05,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",59.7,"Observed length"
"SAWYER","BARKER LAKE",2400000,2010,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,41437573,2010-05-04,2010-05-04,"DATA ENTRY COMPLETE AND PROOFED","scheij",2010-05-05,625138,"NETTING","BOTTOM GILL NET",2010-05-04,"","LAKE STURGEON",7558804,"GN-4","B01","LAKE STURGEON",62.5,NA,1587.5,NA,66.5,30163.89261,"U",NA,"",NA,NA,"","","PIT","","",NA,"4235102043",NA,"",2010-05-05,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",62.5,"Observed length"
"SAWYER","BARKER LAKE",2400000,2010,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,41437573,2010-05-04,2010-05-04,"DATA ENTRY COMPLETE AND PROOFED","scheij",2010-05-05,625138,"NETTING","BOTTOM GILL NET",2010-05-04,"","LAKE STURGEON",7558805,"GN-4","B01","LAKE STURGEON",55.7,NA,1414.78,NA,38.8,17599.38396,"U",NA,"",NA,NA,"","","PIT","","",NA,"423A4A6161",NA,"",2010-05-05,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",55.7,"Observed length"
"SAWYER","BARKER LAKE",2400000,2010,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,41437573,2010-05-04,2010-05-04,"DATA ENTRY COMPLETE AND PROOFED","scheij",2010-05-05,625138,"NETTING","BOTTOM GILL NET",2010-05-04,"","LAKE STURGEON",7558806,"GN-3","B01","LAKE STURGEON",56.4,NA,1432.56,NA,45.7,20729.17131,"U",NA,"",NA,NA,"","PIT","","","91032059",NA,"",NA,"",2010-05-05,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",56.4,"Observed length"
"SAWYER","BARKER LAKE",2400000,2010,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,41437573,2010-05-04,2010-05-04,"DATA ENTRY COMPLETE AND PROOFED","scheij",2010-05-05,625138,"NETTING","BOTTOM GILL NET",2010-05-04,"","LAKE STURGEON",7558807,"GN-4","B01","LAKE STURGEON",55.6,NA,1412.24,NA,44.6,20230.2197,"U",NA,"",NA,NA,"","","PIT","","",NA,"423807076C",NA,"",2010-05-05,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",55.6,"Observed length"
"SAWYER","BARKER LAKE",2400000,2010,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,41437573,2010-05-04,2010-05-04,"DATA ENTRY COMPLETE AND PROOFED","scheij",2010-05-05,625138,"NETTING","BOTTOM GILL NET",2010-05-04,"","LAKE STURGEON",7558808,"GN-4","B01","LAKE STURGEON",55,NA,1397,NA,41.9,19005.5203,"U",NA,"",NA,NA,"","PIT","","","90894351",NA,"",NA,"",2010-05-05,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",55,"Observed length"
"SAWYER","BARKER LAKE",2400000,2010,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,41437573,2010-05-04,2010-05-04,"DATA ENTRY COMPLETE AND PROOFED","scheij",2010-05-05,625138,"NETTING","BOTTOM GILL NET",2010-05-04,"","LAKE STURGEON",7558809,"GN-3","B01","LAKE STURGEON",60.9,NA,1546.86,NA,60,27215.5422,"U",NA,"",NA,NA,"","","PIT","","",NA,"422E0D3C7D",NA,"",2010-05-05,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",60.9,"Observed length"
"SAWYER","BARKER LAKE",2400000,2013,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,396399256,2013-08-06,2013-08-27,"DATA ENTRY NOT COMPLETE","scheij",2013-08-12,709991,"NETTING","BOTTOM GILL NET",2013-08-06,"","LAKE STURGEON",10098049,"NET 1","B01","LAKE STURGEON",58.4,NA,1483.36,NA,48.7,22089.94842,"",NA,"",NA,NA,"","PIT","","","107781798","174438123","",NA,"",2013-08-12,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",58.4,"Observed length"
"SAWYER","BARKER LAKE",2400000,2013,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,396399256,2013-08-06,2013-08-27,"DATA ENTRY NOT COMPLETE","scheij",2013-08-12,710522,"NETTING","BOTTOM GILL NET",2013-08-27,"","LAKE STURGEON",10115601,"GN-2","B01","LAKE STURGEON",46.8,NA,1188.72,NA,24.25,10999.61497,"",NA,"",NA,NA,"","PIT","","","107593006","174438113","",NA,"",2013-08-28,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",46.8,"Observed length"
"SAWYER","BARKER LAKE",2400000,2013,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,396399256,2013-08-06,2013-08-27,"DATA ENTRY NOT COMPLETE","scheij",2013-08-12,710522,"NETTING","BOTTOM GILL NET",2013-08-27,"","LAKE STURGEON",10115602,"GN-2","B01","LAKE STURGEON",66.3,NA,1684.02,NA,67.24,30499.55096,"",NA,"",NA,NA,"","PIT","","","107768773","174438116","",NA,"",2013-08-28,2013-08-28,"scheij","scheij",NA,NA,NA,NA,NA,"SC/H",66.3,"Observed length"
"SAWYER","BARKER LAKE",2400000,2013,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,396399256,2013-08-06,2013-08-27,"DATA ENTRY NOT COMPLETE","scheij",2013-08-12,710522,"NETTING","BOTTOM GILL NET",2013-08-27,"","LAKE STURGEON",10115603,"GN-1","B01","LAKE STURGEON",66.3,NA,1684.02,NA,62.83,28499.20861,"",NA,"",NA,NA,"","PIT","","","107782366","174438105","",NA,"",2013-08-28,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",66.3,"Observed length"
"SAWYER","BARKER LAKE",2400000,2013,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,396399256,2013-08-06,2013-08-27,"DATA ENTRY NOT COMPLETE","scheij",2013-08-12,710522,"NETTING","BOTTOM GILL NET",2013-08-27,"","LAKE STURGEON",10115604,"GN-4","B01","LAKE STURGEON",55.7,NA,1414.78,NA,44.31,20098.67791,"",NA,"",NA,NA,"","PIT","","","107779120","174438089","",NA,"",2013-08-28,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",55.7,"Observed length"
"SAWYER","BARKER LAKE",2400000,2013,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,396399256,2013-08-06,2013-08-27,"DATA ENTRY NOT COMPLETE","scheij",2013-08-12,710522,"NETTING","BOTTOM GILL NET",2013-08-27,"","LAKE STURGEON",10115605,"GN-3","B01","LAKE STURGEON",55.1,NA,1399.54,NA,38.47,17449.69847,"",NA,"",NA,NA,"","PIT","","","107778607","174438085","",NA,"",2013-08-28,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",55.1,"Observed length"
"SAWYER","BARKER LAKE",2400000,2013,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,396399256,2013-08-06,2013-08-27,"DATA ENTRY NOT COMPLETE","scheij",2013-08-12,710522,"NETTING","BOTTOM GILL NET",2013-08-27,"","LAKE STURGEON",10115606,"GN-2","B01","LAKE STURGEON",62.2,NA,1579.88,NA,56.88,25800.33401,"",NA,"",NA,NA,"","PIT","","","107784071","174438127","",NA,"",2013-08-28,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",62.2,"Observed length"
"SAWYER","BARKER LAKE",2400000,2013,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,396399256,2013-08-06,2013-08-27,"DATA ENTRY NOT COMPLETE","scheij",2013-08-12,710522,"NETTING","BOTTOM GILL NET",2013-08-27,"","LAKE STURGEON",10115607,"GN-4","B01","LAKE STURGEON",54.1,NA,1374.14,NA,41.01,18601.82309,"",NA,"",NA,NA,"","PIT","","","107791126","174438091","",NA,"",2013-08-28,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",54.1,"Observed length"
"SAWYER","BARKER LAKE",2400000,2013,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,396399256,2013-08-06,2013-08-27,"DATA ENTRY NOT COMPLETE","scheij",2013-08-12,710522,"NETTING","BOTTOM GILL NET",2013-08-27,"","LAKE STURGEON",10115608,"GN-2","B01","LAKE STURGEON",60.5,NA,1536.7,NA,51.59,23400.83037,"",NA,"",NA,NA,"","PIT","","","107610318","174438096","",NA,"",2013-08-28,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",60.5,"Observed length"
"SAWYER","BARKER LAKE",2400000,2013,"BARKER LAKE_GENERAL LAKE STATION",10005606,109019,396399256,2013-08-06,2013-08-27,"DATA ENTRY NOT COMPLETE","scheij",2013-08-12,710522,"NETTING","BOTTOM GILL NET",2013-08-27,"","LAKE STURGEON",10115609,"GN-2","B01","LAKE STURGEON",60.1,NA,1526.54,NA,53.79,24398.73358,"",NA,"",NA,NA,"","","PIT","PIT","",NA,"107818800","174438094","",2013-08-28,NA,"scheij","",NA,NA,NA,NA,NA,"SC/H",60.1,"Observed length"
